Order ID,Customer ID,Product Name,Product Category,Sales Date,Sales Region,Quantity Sold,Unit Price,Total Sales,Discount Applied,Sales Channel,Payment Method,Customer Segment,Profit Margin,Return Status
12345,67890,Smartwatch,Electronics,2022-01-01,North America,2,99.99,199.98,0,Online,Credit Card,Regular,0.15,No
67890,12345,Running Shoes,Clothing,2022-02-15,Europe,4,59.99,239.96,0.1,In-store,Cash,VIP,0.12,No
34567,89012,Laptop,Electronics,2022-03-20,Asia,1,899.99,899.99,0,Third-party,PayPal,New Customer,0.1,Yes
90123,45678,Smartphone,Electronics,2022-04-01,South America,3,699.99,2099.97,0.05,Online,Credit Card,Regular,0.13,No
56789,23456,Cookware Set,Home Goods,2022-05-15,Africa,5,49.99,249.95,0,In-store,Cash,VIP,0.11,No
34567,89012,TV,Electronics,2022-06-20,North America,2,999.99,1999.98,0,Third-party,PayPal,New Customer,0.09,Yes
90123,45678,Gaming Console,Electronics,2022-07-01,Europe,1,799.99,799.99,0,Online,Credit Card,Regular,0.14,No
56789,23456,Furniture Set,Home Goods,2022-08-15,Asia,4,299.99,1199.96,0,In-store,Cash,VIP,0.08,No
12345,67890,Wearable Device,Electronics,2022-09-20,South America,3,199.99,599.97,0.05,Online,Credit Card,Regular,0.16,Yes
67890,12345,Fashion Handbag,Clothing,2022-10-01,Africa,2,99.99,199.98,0,In-store,Cash,VIP,0.12,No
34567,89012,Kitchen Appliance,Home Goods,2022-11-15,North America,5,49.99,249.95,0,Third-party,PayPal,New Customer,0.11,No
90123,45678,Smart Speaker,Electronics,2022-12-01,Europe,1,149.99,149.99,0,Online,Credit Card,Regular,0.1,Yes
56789,23456,Home Decor,Home Goods,2023-01-15,Asia,4,99.99,399.96,0,In-store,Cash,VIP,0.09,No
12345,67890,Fitness Tracker,Electronics,2023-02-01,South America,2,79.99,159.98,0.05,Online,Credit Card,Regular,0.13,Yes
67890,12345,Fashion Shoes,Clothing,2023-03-15,Africa,3,59.99,179.97,0,In-store,Cash,VIP,0.12,No
34567,89012,Coffee Maker,Home Goods,2023-04-01,North America,1,49.99,49.99,0,Third-party,PayPal,New Customer,0.11,Yes
90123,45678,Gaming Headset,Electronics,2023-05-15,Europe,2,99.99,199.98,0,Online,Credit Card,Regular,0.1,No
56789,23456,Bedding Set,Home Goods,2023-06-01,Asia,5,29.99,149.95,0,In-store,Cash,VIP,0.09,Yes
12345,67890,Smart Home Device,Electronics,2023-07-15,South America,1,199.99,199.99,0,Online,Credit Card,Regular,0.08,No
67890,12345,Fashion Handbag,Clothing,2023-08-01,Africa,4,99.99,399.96,0,In-store,Cash,VIP,0.07,Yes
34567,89012,Smartwatch,Electronics,2023-09-15,North America,3,99.99,299.97,0,Third-party,PayPal,New Customer,0.06,No
23456,90123,Laptop,Electronics,2023-10-01,Europe,1,1299.99,1299.99,0.05,Online,Credit Card,Regular,0.15,No
89012,45678,Kitchen Appliances,Home Goods,2023-10-15,Asia,2,49.99,99.98,0,In-store,Cash,VIP,0.14,Yes
56789,23456,Smart Speaker,Electronics,2023-11-01,South America,4,99.99,399.96,0,Online,Credit Card,Regular,0.13,No
12345,67890,Fashion Accessories,Clothing,2023-11-15,Africa,1,29.99,29.99,0,In-store,Cash,VIP,0.12,Yes
67890,12345,Coffee Table,Home Goods,2023-12-01,North America,3,299.99,899.97,0.05,Third-party,PayPal,New Customer,0.11,No
34567,89012,Gaming Console,Electronics,2023-12-15,Europe,2,499.99,999.98,0,Online,Credit Card,Regular,0.1,Yes
90123,45678,Bedding Set,Home Goods,2024-01-01,Asia,5,29.99,149.95,0,In-store,Cash,VIP,0.09,No
56789,23456,Fitness Equipment,Electronics,2024-01-15,South America,1,199.99,199.99,0,Online,Credit Card,Regular,0.08,Yes
12345,67890,Home Decor,Home Goods,2024-02-01,Africa,4,99.99,399.96,0,In-store,Cash,VIP,0.07,No
67890,12345,Fashion Watch,Clothing,2024-02-15,North America,3,99.99,299.97,0,Third-party,PayPal,New Customer,0.06,Yes
34567,89012,Gaming Keyboard,Electronics,2024-03-01,Europe,2,99.99,199.98,0,Online,Credit Card,Regular,0.05,No
90123,45678,Coffee Mug,Home Goods,2024-03-15,Asia,5,19.99,99.95,0,In-store,Cash,VIP,0.04,Yes
56789,23456,Smart Glasses,Electronics,2024-04-01,South America,1,299.99,299.99,0,Online,Credit Card,Regular,0.03,No
