Item ID,Product Name,Category,Subcategory,Supplier Name,Purchase Price,Selling Price,Stock Quantity,Stock Threshold,Reorder Status,Reorder Quantity,Date of Last Reorder,Lead Time (in days),Warehouse Location,Total Units Sold (YTD),Inventory Turnover Rate,Expiration Date (if applicable),Damaged/Returned Stock,Supplier Rating,Last Restock Date,Seasonality
5006,Smartwatch X,Electronics,Wearables,TechPro Inc.,15.5,24.99,150,100,Yes,50,01-09-2022,7,"Section 3, Shelf B",1000,2.5,,0,4,15-08-2022,Yes
5005,Smartwatch X5000,Electronics,Wearable Devices,TechPro Inc.,15.99,29.99,100,50,No,0,01-01-2022,7,"Shelf A, Section 2",500,2.5,,0,4,01-06-2022,No
5006,Summer Shorts,Fashion,Men's Apparel,FashionForward Ltd.,9.99,19.99,200,100,No,0,01-03-2022,10,"Section 3, Row 2",1000,3,,5,5,01-09-2022,Yes
5007,Premium Coffee Beans,Groceries,Beverages,GreenBean Co.,14.99,24.99,150,75,Yes,50,01-04-2022,5,"Section 1, Row 1",750,2,01-06-2023,2,4,01-10-2022,No
5008,Wireless Charging Pad,Electronics,Accessories,TechPro Inc.,12.99,19.99,250,125,No,0,01-02-2022,8,"Shelf B, Section 3",1200,3.5,,1,4,01-07-2022,No
5009,Fall Jacket,Fashion,Women's Apparel,FashionForward Ltd.,24.99,39.99,180,90,No,0,01-05-2022,9,"Section 2, Row 3",800,2.5,,3,5,01-11-2022,Yes
5010,Organic Granola,Groceries,Breakfast Foods,GreenBean Co.,8.99,14.99,220,110,No,0,01-06-2022,6,"Section 1, Row 2",600,2.2,01-08-2023,4,4,01-12-2022,No
RIT-00123,Smartwatch X500,Electronics,Wearable Devices,TechGenius Inc.,25.5,49.99,150,50,No,0,01-01-2022,7,"Shelf A, Section 2",5000,2.5,,5,4,01-06-2022,No
RIT-00124,Organic Quinoa,Groceries,Grains,GreenEarth Foods,12.99,19.99,200,100,Yes,50,01-03-2022,10,"Section 3, Aisle 2",12000,1.2,15-02-2024,2,5,01-09-2022,Yes
RIT-00125,Leather Wallet,Fashion,Accessories,LuxuryLeather Co.,30,69.99,100,25,No,0,01-02-2022,5,"Shelf B, Section 1",3000,2.1,,3,4,01-08-2022,No
RIT-00126,Wireless Headphones,Electronics,Audio,SoundWave Inc.,50,99.99,50,20,Yes,20,01-04-2022,9,"Section 1, Aisle 3",8000,1.8,,4,5,01-11-2022,No
RIT-00127,Fair Trade Coffee,Groceries,Beverages,GreenEarth Foods,15.99,24.99,300,150,No,0,01-05-2022,12,"Section 2, Aisle 1",18000,1.5,,1,5,01-10-2022,Yes
RIT-00128,Running Shoes,Fashion,Footwear,FitWell Inc.,60,129.99,75,30,Yes,25,01-06-2022,8,"Shelf C, Section 3",12000,1.9,,2,4,01-12-2022,Yes
RIT-00129,Smart Speaker,Electronics,Home Audio,TechGenius Inc.,80,149.99,25,10,Yes,10,01-07-2022,11,"Section 1, Aisle 2",8000,1.1,,3,5,01-01-2022,No
20001,Smartwatch X5000,Electronics,Wearable Devices,TechGenius Inc.,15.5,29.99,150,100,No,0,15-01-2022,5,"Section 3, Shelf 2",2500,4.17,,5,4,01-06-2022,No
I-0000012,Galaxy Note 22,Electronics,Smartphones,Samsung Electronics,599.99,799.99,150,100,No,50,01-01-2022,7,"Shelf B, Section 3",5000,4.5,,20,4,15-06-2023,No
1001,Galaxy Watch,Electronics,Wearable Devices,Samsung Electronics,120,149.99,150,100,Yes,50,01-03-2023,7,"Shelf B, Section 3",1200,2.4,,10,4,01-06-2023,No
1000001,Galaxy Watch,Electronics,Wearables,Samsung Electronics,150,200,500,300,No,0,01-01-2022,5,"Shelf A, Section 2",2000,2,,10,5,01-06-2022,No
1000002,Nike Air Max,Fashion,Footwear,"Nike, Inc.",80,120,800,400,Yes,200,01-03-2022,7,"Shelf B, Section 3",1500,1.5,,20,4,01-09-2022,Yes
10001,Smartwatch Luna,Electronics,Wearable Devices,TechCorp Inc.,15.99,49.99,500,300,Yes,200,15-03-2023,7,"Shelf B, Section 3",12000,2.4,,10,4,20-02-2023,No
10001,Smart Speaker,Electronics,Smart Home Devices,TechMax,50,99.99,500,100,Yes,200,15-01-2022,5,"Shelf B, Section 3",1200,2.4,,0,4,10-06-2022,No
10002,Women's Sandals,Fashion,Footwear,FashionForward,20,49.99,800,200,Yes,300,20-03-2022,3,"Shelf A, Section 1",1500,3.8,,10,5,15-09-2022,Yes
10003,LED Desk Lamp,Home Goods,Lighting,HomeBright,30,69.99,300,50,No,0,,4,"Shelf C, Section 2",400,1.3,,5,3,25-01-2022,No
10004,Fresh Berries,Groceries,Fresh Produce,FreshPick,15,29.99,600,150,Yes,200,10-02-2022,2,Refrigerated Section,800,2.7,25-12-2022,20,4,15-07-2022,Yes
10005,Kids' Tablet,Electronics,Tablets,KidZone,40,89.99,400,100,Yes,150,15-04-2022,6,"Shelf D, Section 4",600,1.9,,15,5,20-10-2022,No
10006,Sports Water Bottle,Home Goods,Outdoor & Sports,FitPro,25,49.99,500,200,Yes,200,10-05-2022,3,"Shelf E, Section 5",1000,3.2,,10,4,15-11-2022,No
10007,Women's T-Shirt,Fashion,Apparel,FashionFrenzy,15,29.99,900,250,Yes,300,20-06-2022,2,"Shelf F, Section 6",1200,4,,20,5,10-12-2022,No
1049,Smartwatch X3,Electronics,Wearable Devices,TechPro Inc.,12.5,19.99,150,50,No,0,01-01-2022,3,Shelf A,1200,2.5,,0,4,01-06-2022,No
10001,Eco-Friendly Yoga Mat,Fitness,Yoga Accessories,GreenPlanet,50.99,69.99,250,100,No,0,15-01-2022,7,"Shelf 3, Section 1",1500,2.5,,0,4,01-06-2022,No
10002,Smartwatch,Electronics,Wearables,TechHub,129.99,149.99,500,200,No,0,01-03-2022,10,"Shelf 2, Section 3",2000,3.2,,10,5,01-09-2022,No
10003,Artisanal Soap Set,Home Goods,Bath and Body,SoapCraft,24.99,34.99,100,50,Yes,50,15-05-2022,5,"Shelf 1, Section 2",500,1.8,01-03-2024,5,4,01-11-2022,Yes
10004,Coffee Maker,Home Appliances,Kitchen Electronics,AppliancePro,99.99,129.99,200,100,No,0,01-02-2022,8,"Shelf 4, Section 1",1500,2.1,,15,5,01-08-2022,No
10005,Wireless Earbuds,Electronics,Audio Accessories,AudioWave,79.99,99.99,300,150,No,0,01-04-2022,9,"Shelf 3, Section 3",2500,3.5,,20,4,01-10-2022,No
10006,Organic Quinoa,Groceries,Grains,FarmFresh,9.99,14.99,150,75,Yes,75,15-06-2022,6,"Shelf 2, Section 2",1000,1.9,01-02-2024,10,5,01-12-2022,Yes
10007,Smart Thermostat,Home Appliances,Thermostats,HomeSmart,149.99,179.99,400,200,No,0,01-01-2022,11,"Shelf 4, Section 3",2000,2.8,,25,4,01-07-2022,No
10001,EcoSmart LED Bulb,Electronics,Lighting,GreenTech Inc.,3.5,9.99,150,100,No,0,01-01-2022,5,"Shelf A, Section 2",5000,2.5,,0,4,01-06-2022,No
10002,Premium Coffee Maker,Home Goods,Kitchen Appliances,KitchenPro Inc.,79.99,149.99,75,50,Yes,25,15-03-2022,10,Section 3,2000,1.2,,5,5,01-09-2022,Yes
10003,Organic Avocado Oil,Groceries,Food and Beverages,GreenEarth Farms,14.99,24.99,200,150,No,0,01-02-2022,7,"Shelf B, Section 1",1000,1.5,01-06-2024,10,3,01-08-2022,Yes
10004,Smart Speaker,Electronics,Audio and Music,TechWave Inc.,99.99,149.99,300,250,No,0,01-04-2022,3,Section 4,6000,2.8,,0,5,01-10-2022,No
10005,Women's Fashion Watch,Fashion,Accessories,FashionForward Inc.,29.99,49.99,100,75,Yes,25,15-05-2022,12,"Shelf C, Section 3",3000,1.8,,15,4,01-11-2022,Yes
10006,Kids' Educational Tablet,Electronics,Tablets and eReaders,LearnTech Inc.,149.99,199.99,50,25,Yes,25,01-06-2022,8,Section 5,1500,1.2,,20,5,01-12-2022,Yes
10007,Fitness Tracker,Electronics,Wearables and Fitness,FitPro Inc.,99.99,129.99,200,150,No,0,01-07-2022,4,"Shelf D, Section 1",4000,2.5,,10,4,01-01-2022,No
10008,Gourmet Food Basket,Groceries,Food and Beverages,GourmetGifts Inc.,49.99,99.99,150,100,No,0,01-08-2022,9,Section 6,2000,1.8,,0,5,01-02-2022,Yes
